outcome,estimator,rel_year,estimate,se,ci_low,ci_high,pvalue
mcv1,lpdid,6,2.1000839912649085,2.9977948961714005,-3.992168226540102,8.19233620906992,0.4883549340384614
mcv1,lpdid,7,-0.23087185257797152,3.8016471029943935,-7.95674830400194,7.4950045988459975,0.9519302743398719
mcv1,lpdid,8,2.8683642076323888,3.890846819596906,-5.0387878780897335,10.775516293354512,0.4660530245504584
mcv1,twfe,-6,-3.0742716307008293,2.9316311623553926,-9.032062963742298,2.88351970234064,0.30173405299396605
mcv1,twfe,-5,-2.093261863733423,1.9313090642292206,-6.018154105308799,1.8316303778419525,0.28605482153431616
mcv1,twfe,-4,-5.33005929001694,1.9475908489971434,-9.28804009928882,-1.37207848074506,0.009795089901462273
mcv1,twfe,-3,-8.602924198927978,2.3217015124059084,-13.32118934978953,-3.8846590480664265,0.0007466262673854196
mcv1,twfe,-2,-3.326406397149984,1.3532745976881388,-6.07659126790085,-0.5762215263991184,0.019221601468668803
mcv1,twfe,0,0.9999784147108427,1.5739249377323161,-2.1986218980738896,4.198578727495575,0.5294594331685314
mcv1,twfe,1,3.194468095321513,1.8158557408138762,-0.495794763660546,6.884730954303572,0.08753950204756422
mcv1,twfe,2,2.9257127296393186,2.694179069050376,-2.5495178905570324,8.40094334983567,0.2851457923372671
mcv1,twfe,3,1.0174961038522286,2.294431734026072,-3.6453501896265887,5.680342397331046,0.6602399565575139
mcv1,twfe,4,0.5295155006381554,2.4759793054950716,-4.502279848138503,5.561310849414815,0.8319327863490833
mcv1,twfe,5,1.708385850732841,3.0352243634971865,-4.4599321965316845,7.876703897997367,0.5772278049977793
mcv1,twfe,6,2.298049020947985,3.0690530283686495,-3.9390171447591205,8.53511518665509,0.4591382069427201
mcv1,twfe,7,-0.06476120689553322,3.780655232750573,-7.747977045276189,7.618454631485122,0.9864333326731995
mcv1,twfe,8,5.804627717889368,4.08392874197226,-2.494914044428577,14.104169480207315,0.16432754828677698
