iso3,outcome,pre_rmspe,post_rmspe,att_headline,att_full,gap_2002,gap_2003,gap_2004,gap_2005,gap_2006,gap_2007,gap_2008,gap_2009,gap_2010,gap_2011,gap_2012,gap_2013,gap_2014,gap_2015,gap_2016,gap_2017,gap_2018,gap_2019
COM,log_mmr,0.0013682974351987023,0.06955556242969875,-0.0038355797406650627,0.03840354423961676,0.0001754161772700158,-0.0016663295991818927,0.001499684818491609,-0.002613031604302485,0.0014835606938072843,-0.0008554638334894449,-0.00037071274629596473,-0.00015261205139349698,-0.00965519745861787,-0.0018068462505285154,0.009644178027737205,-0.01352445328125107,-0.02363719131773223,0.0185143876250633,0.036961699104576695,0.10262254929716352,0.12477790734308769,0.14013840930666888
COM,log_u5mr,0.00032709402014226773,0.012922716230995293,-0.011515638497284542,-0.0018281104279848303,-0.00017809381039501915,0.0008425376680687435,-0.0002856418750480927,0.00013642713250572314,-7.822444173832821e-05,-7.58996999268291e-05,3.436022423741747e-05,3.275302548289005e-05,-0.0037454469628910303,-0.01044832407543339,-0.018200859100420796,-0.013667923850392949,-0.007030672215976974,-0.0017774539613570894,-0.0038709547848148063,0.002964831637017884,0.007581857632417144,0.029913841402003705
ETH,log_mmr,0.01009631695023549,0.3166164522896362,-0.0973068231993981,-0.2725140000099791,-0.010141057998234615,0.0030467927837403153,-0.0022278598636020774,0.003336131387218444,0.015303095832085667,0.009326666646503057,-0.002534495309142848,-0.018965038165756454,-0.030233160308928753,-0.05431987484870415,-0.11187160899910165,-0.19280264864085783,-0.2745015153817141,-0.3225150370857577,-0.3578380684187721,-0.4131515318248855,-0.449485061258561,-0.5184214933325082
ETH,log_u5mr,0.0005401559662270697,0.2061756882043181,-0.0754037211869063,-0.17904481225936286,2.2147006522033053e-06,0.00039256094909756456,-0.00023436251394048924,-0.0006227219359171698,0.00036133945833949355,-0.0005571591380055807,0.000918957548528887,-0.0006722014999409609,-0.02464409085779895,-0.06169597994846132,-0.09421458451636422,-0.12106022942500072,-0.1465363939262021,-0.1860095389159584,-0.2339673530061761,-0.2699351258958895,-0.3080635219717749,-0.3443213041300024
GAB,log_mmr,0.009106902090335246,0.6284380606334129,0.10932009270166554,0.5135430746496735,0.0044597634365013405,-0.014376533170707972,-0.0015098711795991093,0.016487645940864937,-0.005467894630981185,0.010053148026648806,-0.005256368013987434,0.0020483867446356996,-0.037053323258421145,-0.040811966620538875,0.09226842587993822,0.42287723480568395,0.8075370998181866,0.8885835310552528,0.8952704394559872,0.8577065116145555,0.6286408320764609,0.62041196166963
GAB,log_u5mr,0.00396227637698503,0.39984354461987576,-0.15061399447573498,-0.3511919141738616,0.001882352186964198,0.001171135336918816,-0.0019027573799732522,-0.007909459897886606,0.002989024090944703,-0.004848613615775932,0.004486050491474103,-0.0013907751151966963,-0.02353284598847427,-0.1094680698545667,-0.2093496088860345,-0.26010545317386446,-0.3072543424300611,-0.4069304120523669,-0.4813925631667999,-0.5231601896803952,-0.5815303771416902,-0.6091952793643625
GIN,log_mmr,0.0014194454759503521,0.15284361224733514,-0.08956068071473844,-0.142623662748814,0.0006718514988559576,-0.001290190351300069,3.41235733847256e-05,0.000639294938467927,-0.000913695526632452,0.002928231126835712,-0.0017827461161328273,0.0010025990702713372,-0.040360159994606626,-0.0616572078109936,-0.11822072786632187,-0.13800462718703166,-0.14322175909009704,-0.14099716477519575,-0.17046796428525646,-0.19846631963557737,-0.19574890616594764,-0.21909179067711193
GIN,log_u5mr,0.00038824676942582624,0.09600265570738938,0.04881115631802868,0.08789712181050904,0.0002976899648192699,-0.00018170858731192396,-0.00015383853181916152,-9.952891154796362e-05,0.00015489359528153557,-3.376916716923972e-05,-0.000767497057870159,0.0006606744216659521,0.007347381763086247,0.03437794476081635,0.07048554969271237,0.08303374905549976,0.09132906957659426,0.10002176025806175,0.12613156464378683,0.12496787208149662,0.1272650322859974,0.1140112939870388
GMB,log_mmr,0.001549033600791795,0.09531515174714349,0.05384174702710198,-0.03875992234541821,-0.00037757943116734083,0.0005108827967381657,-0.0009195144474807293,0.0004964135660960878,-6.189051511551469e-05,0.004126286778733501,-0.00021314315979026333,-0.0007905928419260633,0.009100550109359062,0.06295425002348765,0.07751151841589099,0.06580066955967023,-0.017051301593671297,-0.06047943516632159,-0.09461578090297973,-0.1348397354918367,-0.11986985119156923,-0.17611010721621145
GMB,log_u5mr,0.003987833112910103,0.06970494034341244,-0.05228117758415585,-0.06702673514478304,-0.0030983789216056934,-0.0023711985930585655,0.0028761192221278264,0.008358879734361224,-0.0036697955243836233,-0.0008656550823342712,0.0035241660535385577,-0.002687104818038577,-0.021439550460434553,-0.05039472769267572,-0.06179042274199542,-0.07550000944151769,-0.06875965031084608,-0.06038329559100042,-0.07559686813111721,-0.08028561560832115,-0.08439378096374561,-0.09172343050617648
