outcome,estimator,rel_year,estimate,se,ci_low,ci_high,pvalue
log_u5mr,twfe,-2,0.0059706147794033795,0.007442658657072742,-0.009154687411158689,0.021095916969965448,0.4280002566528258
log_u5mr,twfe,0,-0.011732285834135365,0.005008188145223665,-0.02191014869389625,-0.0015544229743744802,0.025140271534488612
log_u5mr,twfe,1,-0.030114655663726977,0.00899416232211949,-0.04839299265876662,-0.011836318668687337,0.001998321681827564
log_u5mr,twfe,2,-0.036752527804507246,0.010384066352698595,-0.05785548963416984,-0.015649565974844654,0.0011852957078295479
log_u5mr,twfe,3,-0.0520370843008606,0.0155509482762981,-0.08364041355005125,-0.020433755051669937,0.0020092297186407038
log_u5mr,twfe,4,-0.06448219551430759,0.02057633336332131,-0.10629833601380831,-0.02266605501480686,0.003543412508813626
log_u5mr,twfe,5,-0.06625593592389066,0.026677554745034974,-0.12047125007651086,-0.012040621771270472,0.018097107322518236
log_u5mr,twfe,6,-0.08403746168437545,0.029231433759949785,-0.14344288244251802,-0.024632040926232897,0.006924754696238322
log_u5mr,twfe,7,-0.08710175335158585,0.03330063177090764,-0.1547767794248241,-0.0194267272783476,0.013186762615045255
log_u5mr,twfe,8,-0.1628898447203331,0.06580893833743783,-0.2966296983206195,-0.029149991120046737,0.018459690864371936
log_nmr,lpdid,-6,0.027759771472025612,0.02012365543295964,-0.013136416789008305,0.06865595973305953,0.17675924263702636
log_nmr,lpdid,-5,0.022964981713362875,0.016794430668481002,-0.011165407799774752,0.057095371226500505,0.18046701570609636
log_nmr,lpdid,-4,0.0166444693262894,0.013232461079852861,-0.010247127048001993,0.043536065700580794,0.21701614827065585
log_nmr,lpdid,-3,0.011922129463056652,0.008464845127383316,-0.0052805055692929405,0.029124764495406245,0.16808349975375791
log_nmr,lpdid,-2,0.005715680950026138,0.004235026919726187,-0.002890929254400137,0.014322291154452414,0.186055882041555
log_nmr,lpdid,0,-0.0037640868456321787,0.0033452085939382607,-0.010562368643185657,0.0030341949519212983,0.2683776530571147
log_nmr,lpdid,1,-0.009721103646120395,0.006342565372530485,-0.022610747299434165,0.003168540007193377,0.13460867456977876
log_nmr,lpdid,2,-0.013979496918467879,0.009136624619926285,-0.03254735213601016,0.004588358299074405,0.13525611541991212
log_nmr,lpdid,3,-0.01823684852758634,0.012080990136226943,-0.04278837439905507,0.006314677343882389,0.14039660297402423
log_nmr,lpdid,4,-0.02120930083944792,0.014800482397980787,-0.05128749992799793,0.008868898249102083,0.1609855466750254
log_nmr,lpdid,5,-0.02393297128804274,0.018491616024600466,-0.06151245642244858,0.013646513846363104,0.20429757280553829
log_nmr,lpdid,6,-0.026981981097100125,0.022593219719301998,-0.07289692781946043,0.018932965625260176,0.24064514914408042
log_nmr,lpdid,7,-0.027203464452871202,0.027038347188007378,-0.08215199706672538,0.02774506816098298,0.3214712103209465
log_nmr,lpdid,8,-0.029441985133244697,0.03443869491813013,-0.0994298337886827,0.040545863522193304,0.3985852042304261
log_nmr,twfe,-6,0.028003431179451727,0.03724150352326254,-0.04768040987443506,0.10368727223333851,0.457260393278748
log_nmr,twfe,-5,0.023380275253901184,0.017868521371955815,-0.012932929193882337,0.059693479701684704,0.19949326007950585
log_nmr,twfe,-4,0.017240245486570535,0.014106134055375384,-0.01142686799516578,0.04590735896830685,0.2300448868835987
log_nmr,twfe,-3,0.012404039427708626,0.009066143947884794,-0.006020581831064313,0.030828660686481567,0.18023282551628772
log_nmr,twfe,-2,0.006044651373678395,0.0045598302383893195,-0.003222038591709206,0.015311341339065997,0.19380051026778933
log_nmr,twfe,0,-0.004196364400134594,0.003807570220918375,-0.011934278075437616,0.0035415492751684277,0.2781541758833974
log_nmr,twfe,1,-0.010297999307870186,0.007055993587626442,-0.024637503534105057,0.004041504918364684,0.1536145457498106
log_nmr,twfe,2,-0.015128855232625757,0.01016504662565483,-0.035786715424571396,0.005529004959319879,0.1458834686727053
log_nmr,twfe,3,-0.019703448058130058,0.013092615107498344,-0.046310843222953785,0.006903947106693668,0.14157662792697678
log_nmr,twfe,4,-0.02275935747825675,0.01573037907779402,-0.05472733398858998,0.009208619032076471,0.15709882820373888
log_nmr,twfe,5,-0.025533636287421935,0.01927083954942453,-0.0646966941516827,0.013629421576838819,0.19401128484751418
log_nmr,twfe,6,-0.028442264720772426,0.0230540287445062,-0.07529368805444803,0.01840915861290317,0.2257672251682643
log_nmr,twfe,7,-0.0302265654894689,0.026835074362563643,-0.08476199801992156,0.024308867040983756,0.26789117811706276
log_nmr,twfe,8,-0.0461510414125222,0.04842808244150533,-0.14456874605105724,0.05226666322601284,0.347326055722198
dtp3,lpdid,-6,-0.29702744867153835,2.8910648990143852,-6.1723782157747085,5.578323318431632,0.918773065270728
dtp3,lpdid,-5,-1.2588138309859838,2.918408000753136,-7.189732466465447,4.672104804493479,0.668946939629822
dtp3,lpdid,-4,-3.6625319158808907,3.020389881521378,-9.800702668601506,2.4756388368397255,0.23364048125647363
dtp3,lpdid,-3,-5.829161354375935,3.0949264013954916,-12.118808540354369,0.4604858316025,0.06821530418943378
dtp3,lpdid,-2,-0.41198181335458994,1.3765684817119326,-3.2095055520134936,2.385541925304314,0.7665469579776223
dtp3,lpdid,0,0.5624880533829034,1.154421530457975,-1.783578763328474,2.908554870094281,0.6292103670328189
dtp3,lpdid,1,2.2998298991313795,1.9710515041065562,-1.7058286976716013,6.305488495934361,0.25140850893586064
dtp3,lpdid,2,3.290838476424612,2.6238865022040105,-2.0415404607523633,8.623217413601587,0.2183292712032876
dtp3,lpdid,3,2.9694786383254232,2.546315795235845,-2.2052576555316046,8.14421493218245,0.25165452466972904
dtp3,lpdid,4,0.7929349041694616,3.0064104889379237,-5.316826304729833,6.902696113068757,0.7935660951453027
dtp3,lpdid,5,2.18494459035489,3.2291159935225218,-4.377408657431286,8.747297838141066,0.5032129248807462
dtp3,lpdid,6,2.874617839744668,3.170055898151821,-3.567710853504621,9.316946532993956,0.3708928959192379
dtp3,lpdid,7,0.9440438971479621,3.2429269923828814,-5.646376677240373,7.534464471536297,0.7727368330702244
dtp3,lpdid,8,5.289579105845388,3.764303968470209,-2.3604069654810935,12.93956517717187,0.16903518693170105
dtp3,twfe,-6,-2.386001692098442,3.8629510668043783,-10.236462787374666,5.464459403177782,0.5409128028454693
dtp3,twfe,-5,-1.2729527065378623,2.894505893908707,-7.155296416621608,4.609391003545884,0.6628776410523551
dtp3,twfe,-4,-3.585657526925893,3.0203951516800496,-9.723838989897533,2.552523936045747,0.24339738900347663
dtp3,twfe,-3,-5.784244254071691,3.1385544921137054,-12.162554387864231,0.5940658797208496,0.07406715150381893
dtp3,twfe,-2,-0.3702985471212329,1.3093936294380544,-3.0313065610823187,2.290709466839853,0.7790436174752258
dtp3,twfe,0,0.5693544923060838,1.2098939069672154,-1.8894457569850032,3.028154741597171,0.640944163778592
dtp3,twfe,1,2.2193088839504487,2.008153054279062,-1.8617491344777832,6.300366902378681,0.2768543167720199
dtp3,twfe,2,3.1383965473463555,2.584059371874323,-2.113043922896232,8.389837017588944,0.23291662128939872
dtp3,twfe,3,2.733149528887956,2.573598492325241,-2.4970318763283745,7.963330934104286,0.29572328403735204
dtp3,twfe,4,0.5823372381502915,3.1310783785188105,-5.7807796048379885,6.945454081138571,0.8535608208677481
dtp3,twfe,5,2.0508880752629985,3.308308471358145,-4.672403650783888,8.774179801309886,0.5394429822949522
dtp3,twfe,6,2.7604740042171185,3.242371167185684,-3.8288169974660713,9.34976500590031,0.4005178222299204
dtp3,twfe,7,0.9353468368614343,3.324572070492767,-5.820996499228532,7.691690172951401,0.7801521443273223
dtp3,twfe,8,7.1593626000045365,4.710120261361313,-2.412753439373132,16.731478639382203,0.13775795205297925
mcv1,lpdid,-6,-0.7809222888541133,2.502032707780752,-5.8656645213748915,4.303819943666665,0.7568591581596358
mcv1,lpdid,-5,-2.2963793906480703,2.0136575003427803,-6.388623789366129,1.7958650080699883,0.26208857931650775
mcv1,lpdid,-4,-5.504579576223863,2.017591398999963,-9.604818618888194,-1.404340533559532,0.010002522956159554
mcv1,lpdid,-3,-8.704754820210567,2.3478617394708237,-13.476183948887297,-3.9333256915338373,0.0007422748883807451
mcv1,lpdid,-2,-3.5243274370145725,1.3910464101313875,-6.351273866210208,-0.6973810078189362,0.016068299786541118
mcv1,lpdid,0,0.9670504185796951,1.641667937849293,-2.3692202342374733,4.303321071396863,0.5597109950132206
mcv1,lpdid,1,3.1087883925257134,1.8597559181542158,-0.6706903608143251,6.888267145865752,0.10378142272709479
mcv1,lpdid,2,2.7935206645002655,2.7273655732604776,-2.7491530466605134,8.336194375661044,0.3129469529568465
mcv1,lpdid,3,1.0758525234552505,2.293833371111898,-3.5857777502766575,5.737482797187159,0.642049367143045
mcv1,lpdid,4,0.26018165084463557,2.429283737571396,-4.67671688640966,5.197080188098931,0.915337390539809
mcv1,lpdid,5,1.4698508561662784,2.965664547886942,-4.557104637755175,7.4968063500877316,0.6233490803789405
mcv1,lpdid,6,2.1000839912649085,2.9977948961714005,-3.992168226540102,8.19233620906992,0.4883549340384614
mcv1,lpdid,7,-0.23087185257797224,3.8016471029943935,-7.956748304001941,7.495004598845997,0.9519302743398717
mcv1,lpdid,8,2.8683642076323874,3.8908468195969057,-5.038787878089734,10.77551629335451,0.4660530245504586
mcv1,twfe,-6,-3.074271630700828,2.931631162355421,-9.032062963742355,2.883519702340699,0.30173405299397116
mcv1,twfe,-5,-2.093261863733417,1.9313090642292228,-6.018154105308797,1.8316303778419631,0.28605482153431816
mcv1,twfe,-4,-5.33005929001693,1.9475908489971523,-9.288040099288828,-1.3720784807450324,0.009795089901462717
mcv1,twfe,-3,-8.602924198927973,2.3217015124058897,-13.321189349789485,-3.8846590480664593,0.0007466262673851976
mcv1,twfe,-2,-3.3264063971499733,1.3532745976881482,-6.076591267900858,-0.5762215263990891,0.019221601468669913
mcv1,twfe,0,0.9999784147108493,1.5739249377322826,-2.198621898073815,4.198578727495514,0.5294594331685201
mcv1,twfe,1,3.194468095321529,1.8158557408138625,-0.495794763660502,6.88473095430356,0.08753950204756045
mcv1,twfe,2,2.925712729639334,2.6941790690503904,-2.5495178905570453,8.400943349835714,0.28514579233726733
mcv1,twfe,3,1.0174961038522352,2.2944317340261087,-3.6453501896266576,5.680342397331128,0.660239956557517
mcv1,twfe,4,0.5295155006381591,2.4759793054950845,-4.502279848138525,5.561310849414844,0.8319327863490833
mcv1,twfe,5,1.7083858507328484,3.0352243634972136,-4.4599321965317325,7.876703897997429,0.577227804997781
mcv1,twfe,6,2.298049020947992,3.0690530283686694,-3.939017144759154,8.535115186655139,0.4591382069427219
mcv1,twfe,7,-0.06476120689552604,3.7806552327505987,-7.747977045276234,7.618454631485181,0.9864333326732011
mcv1,twfe,8,5.8046277178893835,4.083928741972291,-2.494914044428624,14.104169480207391,0.1643275482867792
